Date,DayOfWeek,S&P500,Gold_Close,Bitcoin_Close,Ethereum_Close
2016-03-24,4,2035.94,1221.4000244140625,416.3940124511719,11.2349996567
2016-03-28,1,2037.05,1219.9000244140625,424.2309875488281,11.665599823
2016-03-29,2,2055.01,1235.5999755859375,416.5159912109375,11.6563997269
2016-03-30,3,2063.95,1226.9000244140625,414.8160095214844,11.9528999329
2016-03-31,4,2059.74,1234.199951171875,416.72900390625,11.4034996033
2016-04-01,5,2072.78,1222.199951171875,417.9599914550781,11.663599968
2016-04-04,1,2066.13,1218.0,421.4440002441406,11.1572999954
2016-04-05,2,2045.17,1228.4000244140625,424.0299987792969,10.4380998611
2016-04-06,3,2066.66,1222.5,423.4129943847656,10.6854000092
2016-04-07,4,2041.91,1236.199951171875,422.7449951171875,10.0697002411
2016-04-08,5,2047.6,1242.5,420.3489990234375,9.7195901871
2016-04-11,1,2041.99,1256.699951171875,422.4830017089844,8.6437902451
2016-04-12,2,2061.72,1259.4000244140625,425.19000244140625,7.4423098564
2016-04-13,3,2082.42,1246.800048828125,423.7340087890625,8.0444202423
2016-04-14,4,2082.78,1225.0,424.2820129394531,8.3872404099
2016-04-15,5,2080.73,1233.0999755859375,429.7130126953125,8.2427797318
2016-04-18,1,2094.34,1233.5999755859375,428.5910034179687,9.0360002518
2016-04-19,2,2100.8,1253.0,435.5090026855469,8.7148799896
2016-04-20,3,2102.4,1253.199951171875,441.3890075683594,8.4657897949
2016-04-21,4,2091.48,1249.0,449.4249877929687,8.1021699905
2016-04-22,5,2091.58,1228.699951171875,445.7369995117187,7.8212599754
2016-04-25,1,2087.79,1238.9000244140625,461.4259948730469,7.5543398857
2016-04-26,2,2091.7,1242.199951171875,466.0889892578125,7.3970398903
2016-04-27,3,2095.15,1249.199951171875,444.68701171875,7.7599701881
2016-04-28,4,2075.81,1265.5,449.010986328125,7.1725301743
2016-04-29,5,2065.3,1289.199951171875,455.0969848632813,7.4572901726
2016-05-02,1,2081.43,1294.699951171875,444.66900634765625,10.1632003784
2016-05-03,2,2063.37,1290.699951171875,450.3039855957031,9.3112697601
2016-05-04,3,2051.12,1273.300048828125,446.7219848632813,9.413769722
2016-05-05,4,2050.63,1271.4000244140625,447.97601318359375,9.8261003494
2016-05-06,5,2057.14,1292.9000244140625,459.6029968261719,9.3466396332
2016-05-09,1,2058.69,1265.5999755859375,460.4830017089844,9.2977304459
2016-05-10,2,2084.39,1263.9000244140625,450.8949890136719,9.3615198135
2016-05-11,3,2064.46,1274.5999755859375,452.7279968261719,9.9962797165
2016-05-12,4,2064.11,1270.300048828125,454.7659912109375,10.057800293
2016-05-13,5,2046.61,1271.9000244140625,455.6700134277344,10.5066003799
2016-05-16,1,2066.66,1273.4000244140625,454.1629943847656,11.1712999344
2016-05-17,2,2047.21,1276.199951171875,453.7829895019531,12.198800087
2016-05-18,3,2047.63,1273.699951171875,454.6189880371094,13.5586004257
2016-05-19,4,2040.04,1254.199951171875,438.7149963378906,14.7697000504
2016-05-20,5,2052.32,1252.4000244140625,442.6759948730469,13.63560009
2016-05-23,1,2048.04,1251.0999755859375,444.1549987792969,13.4615001678
2016-05-24,2,2076.06,1228.9000244140625,445.9809875488281,12.7322998047
2016-05-25,3,2090.54,1223.5,449.5989990234375,12.5260000229
2016-05-26,4,2090.1,1220.0999755859375,453.3840026855469,12.4303998947
2016-05-27,5,2099.06,1213.800048828125,473.4639892578125,11.295800209
2016-05-31,2,2096.95,1214.800048828125,531.385986328125,14.0773000717
2016-06-01,3,2099.33,1211.9000244140625,536.9199829101562,14.0015001297
2016-06-02,4,2105.26,1209.800048828125,537.9719848632812,13.7379999161
2016-06-03,5,2099.13,1240.0999755859375,569.1939697265625,13.8466997147
2016-06-06,1,2109.41,1244.5999755859375,585.5369873046875,13.9341001511
2016-06-07,2,2112.13,1244.4000244140625,576.5969848632812,14.5120000839
2016-06-08,3,2119.12,1259.800048828125,581.64501953125,14.4176998138
2016-06-09,4,2115.48,1270.199951171875,574.6300048828125,14.3985996246
2016-06-10,5,2096.07,1273.4000244140625,577.469970703125,13.9085998535
2016-06-13,1,2079.06,1284.4000244140625,704.3759765625,17.6026992798
2016-06-14,2,2075.32,1285.5999755859375,685.5590209960938,18.8931999207
2016-06-15,3,2071.5,1285.800048828125,694.468994140625,18.3542995453
2016-06-16,4,2077.99,1296.0999755859375,766.3079833984375,20.5886001587
2016-06-17,5,2071.22,1292.5,748.9089965820312,15.3767995834
2016-06-20,1,2083.25,1290.0,737.2260131835938,11.8395004272
2016-06-21,2,2088.9,1270.5,666.6519775390625,13.3066997528
2016-06-22,3,2085.45,1268.0,596.1160278320312,13.0951004028
2016-06-23,4,2113.32,1261.199951171875,623.9769897460938,13.676199913
2016-06-24,5,2037.41,1320.0,665.2990112304688,14.3320999146
2016-06-27,1,2000.54,1322.5,655.2750244140625,13.8838996887
2016-06-28,2,2036.09,1315.300048828125,647.0009765625,12.1756000519
2016-06-29,3,2070.77,1323.9000244140625,639.8900146484375,12.6112003326
2016-06-30,4,2098.86,1318.4000244140625,673.3369750976562,12.4615001678
2016-07-01,5,2102.95,1336.699951171875,676.2960205078125,12.1995000839
2016-07-05,2,2088.55,1356.4000244140625,670.6270141601562,10.6113996506
2016-07-06,3,2099.73,1364.9000244140625,677.3309936523438,10.5289001465
2016-07-07,4,2097.9,1360.0999755859375,640.56201171875,10.1093997955
2016-07-08,5,2129.9,1356.5999755859375,666.5230102539062,11.3945999146
2016-07-11,1,2137.16,1355.0,647.6589965820312,10.4589996338
2016-07-12,2,2152.14,1334.0999755859375,664.551025390625,10.5160999298
2016-07-13,3,2152.43,1342.4000244140625,654.468017578125,10.5004997253
2016-07-14,4,2163.75,1331.300048828125,658.0780029296875,11.5131998062
2016-07-15,5,2161.74,1326.5,663.2550048828125,11.9516000748
2016-07-18,1,2166.89,1328.4000244140625,673.1060180664062,11.0343999863
2016-07-19,2,2163.78,1331.5,672.864013671875,11.619099617
2016-07-20,3,2173.02,1318.800048828125,665.6849975585938,12.4505996704
2016-07-21,4,2165.17,1330.5,665.0120239257812,12.6506996155
2016-07-22,5,2175.03,1323.0999755859375,650.6190185546875,14.6618995667
2016-07-25,1,2168.48,1319.300048828125,654.0969848632812,13.8360996246
2016-07-26,2,2169.18,1320.699951171875,651.7839965820312,11.9895000458
